"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"253101_at"	1.34014396029605	7.37713530663657	7.56257528826188	3.09918894291175e-05	0.0103565852329798	2.90907874642323	"AT4G37430"
"254085_at"	-0.621047640110441	8.7501571854911	-7.56196975541842	3.10118035983378e-05	0.0103565852329798	2.90847704189656	"AT4G24960"
"255726_at"	0.871233267589439	7.38432620463781	7.55239496929268	3.13285568205e-05	0.0103565852329798	2.89895657189518	"AT1G25530"
"262105_at"	0.813981833394079	7.98689690390228	7.58545493346963	3.02495972156399e-05	0.0103565852329798	2.93177951658817	"AT1G02810"
"256097_at"	1.15747376148042	7.28196043894427	7.52322039753659	3.23157255742193e-05	0.0105303100049706	2.86987525934151	"AT1G13670"
"252006_at"	0.613232723880116	4.71787588333211	7.43554756871702	3.54927528406211e-05	0.0111236857473998	2.7818242664045	"AT3G52820"
"261224_at"	0.927475024513776	6.8929597237066	7.44229947865566	3.5236325315143e-05	0.0111236857473998	2.78864059074032	"AT1G20160"
"261514_at"	0.630680625556825	6.94062420716979	7.42009410663456	3.60873627929673e-05	0.0111236857473998	2.76620110795443	"AT1G71870"
"262231_at"	1.24026092924845	7.17079524924752	7.42431980797104	3.59236943355003e-05	0.0111236857473998	2.77047629352823	"AT1G68740"
"255177_at"	-1.18627200521376	6.50069760158586	-7.35162570313845	3.88560612319642e-05	0.0118174234226814	2.69660645807651	"AT4G08040"
"246987_at"	0.809528180770306	9.1900459794204	7.32253012704873	4.01021908579886e-05	0.0120359338614568	2.66684639266765	"AT5G67300"
"251896_at"	0.717302364187777	4.90773479261438	7.27358709955063	4.22980085675941e-05	0.0123694560952157	2.61653384775087	"AT3G54390"
"258300_at"	0.683474662297944	5.70376062109112	7.27419616528809	4.22698891247399e-05	0.0123694560952157	2.6171619032968	"AT3G23340"
"246125_at"	0.910628877041847	7.51881293431271	7.22481001376498	4.46177030651483e-05	0.0124340070775162	2.56607595457236	"AT5G19875"
"252547_at"	0.61400335371642	6.31669122810828	7.25059303045093	4.33746959172831e-05	0.0124340070775162	2.59278684704537	"AT3G45840"
"257761_at"	0.779015616152721	9.16774218364041	7.23788605434492	4.39825097816483e-05	0.0124340070775162	2.57963363928932	"AT3G23090"
