,Ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_symbol
133,AT1G02930,86.8699618458806,-2.72189795855493,0.312065448954448,-8.72220224210802,2.72842433181438e-18,4.22700626744626e-16,GSTF6
134,AT1G09750,823.766289794437,-0.923237233591694,0.106023804150247,-8.70782972740126,3.09748137368563e-18,4.76295550035763e-16,
135,AT5G56600,48.2267679930625,-4.178120267374,0.482707216803653,-8.6555993404041,4.90328216571007e-18,7.48386140921896e-16,PFN3
136,AT3G57550,2769.24936544745,-0.690667834411186,0.079831258213921,-8.65159650321967,5.07839220228092e-18,7.69413759764693e-16,AGK2
137,AT5G14180,149.268248004701,-2.04718680561244,0.238136861994521,-8.59668170843511,8.20541578747144e-18,1.23410651314488e-15,MPL1
138,AT3G52115,257.102721813849,-1.43146610576664,0.166555567843441,-8.59452568473838,8.36094267510136e-18,1.24838567985843e-15,ATGR1
139,AT1G07600,145.982216446613,-2.294092188485,0.267973441320043,-8.56089386016859,1.11995777141532e-17,1.65259769657829e-15,MT1A
140,AT2G39660,188.888039945404,-1.4293609864275,0.166969791857328,-8.56059632420731,1.1228521112398e-17,1.65259769657829e-15,BIK1
141,AT5G06640,309.885842240637,-1.57298968875783,0.184439859397308,-8.52846935525687,1.48296770513162e-17,2.16713117476859e-15,
142,AT4G34510,53.0139706197137,-3.41220471708287,0.401055956113601,-8.50805147029496,1.76880676773094e-17,2.56663827106309e-15,KCS17
143,AT5G15380,53.642216582832,-5.96529933537861,0.701316318634681,-8.50586130234616,1.80252350075107e-17,2.59185545653861e-15,DRM1
144,AT3G53460,1554.80126806047,0.874628521247366,0.1028334128562,8.50529508799276,1.81134280874331e-17,2.59185545653861e-15,CP29
145,AT3G10930,59.2728482831435,-3.23926357900238,0.38095207684635,-8.50307368270071,1.846356314738e-17,2.62373599070182e-15,
146,AT3G09390,303.787728646052,-1.29125694340226,0.152862282423025,-8.4471913079833,2.98394542520646e-17,4.21124626619035e-15,MT2A
147,AT2G47780,50.0925188275285,-5.5824067165525,0.662182183201605,-8.43031851077894,3.44725637700325e-17,4.83202160871783e-15,
148,AT4G37180,367.07844435245,-1.17433695880663,0.139629214662753,-8.41039578746476,4.08629486780864e-17,5.6890611994052e-15,
149,AT4G27970,181.717095703093,-1.55848913715252,0.185655081050396,-8.39454071676856,4.67718916228174e-17,6.46801897240371e-15,SLAH2
150,AT5G43330,530.858953080017,-1.14729882875235,0.136781155313592,-8.38784279985057,4.95143693598422e-17,6.80162387106366e-15,
