"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_symbol"
"AT1G71200",237.650988850555,-5.0811299850008,0.267360924325571,-19.0047591951522,1.55759168052599e-80,1.23439140681684e-77,"CITF1"
"AT5G23980",162.955499880299,-5.12084675564541,0.328769833930223,-15.5757804614527,1.06347060234894e-54,5.21733613366666e-52,"FRO4"
"AT2G18600",216.737870424433,-5.13490131418739,0.283360239708545,-18.1214602283968,2.15791138979481e-73,1.48212547289074e-70,"AT2G18600"
"AT1G52315",240.586028695409,-5.1551232908681,0.276159524999604,-18.6671935030142,9.15382846453689e-78,6.98572724117714e-75,"ISTL9"
"AT4G22960",373.102397926686,-5.16536162189656,0.238172723948842,-21.6874608320223,2.69454803727264e-104,2.92216643726331e-101,"DUF544"
"AT5G49520",263.98824564267,-5.17496392908641,0.261734994592369,-19.7717692933878,5.21158599045637e-87,4.47436372222307e-84,"WRKY48"
"AT2G33020",26.2924057523836,-5.24995748348336,0.826129288448404,-6.35488604131633,2.08581193200897e-10,1.44221996171291e-08,"RLP24"
"AT1G30660",55.3757606180398,-5.26652848494582,0.576964849574015,-9.12798845342867,6.97838213846312e-20,1.15031651170426e-17,"TWINKY"
"AT3G27630",328.309843734551,-5.36597841819673,0.250590740598458,-21.4133148151514,1.00410371697228e-101,9.85217004200657e-99,"SMR7"
"AT1G21270",45.29727060211,-5.45227070981011,0.665797260144792,-8.18908553126877,2.6321843831011e-16,3.26723850685531e-14,"WAK2"
"AT4G25330",47.3301275942905,-5.5651918752245,1.11643765889146,-4.9847762039399,6.20335720086496e-07,1.91634445463002e-05,"SAWADEE"
"AT4G25100",5336.1526237561,-5.5696119027195,0.112306186387076,-49.5930997382744,0,0,"FSD1"
"AT2G47780",50.0925188275285,-5.5824067165525,0.662182183201605,-8.43031851077894,3.44725637700325e-17,4.83202160871783e-15,"SRP2"
"AT5G07165",76.5214917107429,-5.6234526045234,0.538260914726662,-10.4474474193971,1.5052193860432e-25,3.10150454494202e-23,"AT5G07165"
"AT5G61740",141.894848670424,-5.66514971891652,0.418500216145546,-13.5367904253275,9.48431314969842e-42,3.20367659753338e-39,"ATATH14"
"AT5G14490",44.1658018523453,-5.67105855604591,0.722597922293863,-7.84815231414356,4.22211254081798e-15,4.80644358583173e-13,"NAC085"
"AT2G23170",44.6070751678406,-5.68860763805616,0.712180534327505,-7.98759213972028,1.37599807787553e-15,1.62013945112144e-13,"GH3.3"
"AT2G24255",64.8146097937184,-5.74123289454463,0.599032895267478,-9.58416965061838,9.32043167423799e-22,1.69953535086437e-19,"ATFDA15"
"AT5G60250",440.639204855154,-5.89973063833022,0.250216086769974,-23.5785425089551,6.39946163218448e-123,8.79072712874409e-120,"AT5G60250"
"AT5G15380",53.642216582832,-5.96529933537861,0.701316318634681,-8.50586130234616,1.80252350075107e-17,2.59185545653861e-15,"DRM1"
"AT4G23140",83.8894114226707,-6.10444006601837,0.604023431773723,-10.106296784038,5.18055881500689e-24,1.00703221116242e-21,"CRK6"
"AT3G28580",39.8826695174597,-6.28179628523952,0.895342265484591,-7.01608371167375,2.28173378930237e-12,2.05306221522163e-10,"AT3G28580"
"AT1G20750",322.724216073979,-6.42340178653312,0.346158802783151,-18.556228340543,7.26281018311276e-77,5.34465013653709e-74,"AT1G20750"
"AT3G46900",205.065882724871,-6.52609686821121,0.428365029851879,-15.2348964397673,2.07455589307906e-52,9.29265742975957e-50,"COPT2"
"AT5G23990",707.581154921925,-6.79701409469008,0.274033838795471,-24.8035575626962,8.20662231098919e-136,1.30074963629179e-132,"FRO5"
"AT5G61890",80.1537959421086,-6.87063716052086,0.759179971524027,-9.05007694911695,1.42867626052832e-19,2.3179428620619e-17,"ERF114"
"AT5G07310",56.2928992771968,-7.36484671689518,1.05758109839657,-6.96386000852443,3.31073609130668e-12,2.92354691187823e-10,"ERF115"
"AT2G25370",53.0357064467463,-8.17961169273491,1.21011387459015,-6.75937353044998,1.3858967282615e-11,1.12871154489439e-09,"AT2G25370"
"AT1G07500",29.6201545552452,-8.30622367131996,1.24250569332839,-6.68505884191925,2.30831875785007e-11,1.82934261559618e-09,"SMR5"
